Configuration,Time
#
Result
0.000000,3.002000
1.000000,1.001000
2.000000,1.001000
3.000000,1.000000
4.000000,3.003000
5.000000,2.002000
6.000000,0.000000
7.000000,1.000000
8.000000,1.001000
9.000000,1.001000
10.000000,2.002000
11.000000,2.003000
12.000000,0.000000
13.000000,0.000000
14.000000,1.001000
15.000000,1.000000
16.000000,2.003000
17.000000,0.000000
18.000000,1.001000
19.000000,1.002000
#
